날짜,코스피지수,코스피수익률,S전자종가,S전자 수익률,H전기 종가,H전기 수익률
2015-03-25,2042.81,,1485000,,45500,
2015-03-26,2022.56,-0.991,1421000,-4.31,45900,0.879
2015-03-27,2019.8,-0.136,1421000,0,45000,-1.961
2015-03-30,2030.04,0.507,1428000,0.493,45600,1.333
2015-03-31,2041.03,0.541,1441000,0.91,46000,0.877
2015-04-01,2028.45,-0.616,1423000,-1.249,45950,-0.109
2015-04-02,2029.07,0.031,1434000,0.773,46300,0.762
2015-04-03,2045.42,0.806,1434000,0,46650,0.756
2015-04-06,2046.43,0.049,1470000,2.51,45750,-1.929
2015-04-07,2047.03,0.029,1462000,-0.544,45350,-0.874
2015-04-08,2059.26,0.597,1479000,1.163,43700,-3.638
2015-04-09,2058.87,-0.019,1483000,0.27,43100,-1.373
2015-04-10,2087.76,1.403,1490000,0.472,43650,1.276
2015-04-13,2098.92,0.535,1479000,-0.738,43300,-0.802
2015-04-14,2111.72,0.61,1474000,-0.338,43900,1.386
2015-04-15,2119.96,0.39,1446000,-1.9,43800,-0.228
2015-04-16,2139.9,0.941,1477000,2.144,46000,5.023
2015-04-17,2143.5,0.168,1450000,-1.828,47550,3.37
2015-04-20,2146.71,0.15,1430000,-1.379,46250,-2.734
2015-04-21,2144.79,-0.089,1444000,0.979,46050,-0.432
2015-04-22,2143.89,-0.042,1461000,1.177,45500,-1.194
2015-04-23,2173.41,1.377,1451000,-0.684,45800,0.659
2015-04-24,2159.8,-0.626,1410000,-2.826,46850,2.293
2015-04-27,2157.54,-0.105,1395000,-1.064,47000,0.32
2015-04-28,2147.67,-0.457,1366000,-2.079,47950,2.021
2015-04-29,2142.63,-0.235,1385000,1.391,47700,-0.521
2015-04-30,2127.17,-0.722,1410000,1.805,46850,-1.782
2015-05-04,2132.23,0.238,1400000,-0.709,47950,2.348
2015-05-06,2104.58,-1.297,1362000,-2.714,46550,-2.92
2015-05-07,2091,-0.645,1370000,0.587,46250,-0.644
2015-05-08,2085.52,-0.262,1338000,-2.336,45800,-0.973
2015-05-11,2097.38,0.569,1336000,-0.149,46800,2.183
2015-05-12,2096.77,-0.029,1331000,-0.374,47100,0.641
2015-05-13,2114.16,0.829,1333000,0.15,47200,0.212
2015-05-14,2120.33,0.292,1340000,0.525,46800,-0.847
2015-05-15,2106.5,-0.652,1326000,-1.045,46800,0
2015-05-18,2113.72,0.343,1320000,-0.452,46700,-0.214
2015-05-19,2120.85,0.337,1338000,1.364,46100,-1.285
2015-05-20,2139.54,0.881,1366000,2.093,47900,3.905
2015-05-21,2122.81,-0.782,1352000,-1.025,47450,-0.939
